,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_30ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Tue Feb 12, 2019 - Soccer",Manchester United,0,68%,+185,+128,+130,+126,+129,+125,+125,+115,+120,+126,+129,+120,+130,+135,+129,+129,+129,+116,+210,+210,-100,+126,+126,+125,+120,+125,+143,+210,+160,128.4286,0.4293,0.4093,210,0.3226,1,0,0.2688,0.12801428571428572,144.32,2.4432,2.4721,0.0134,0.0212,0.076,2.4143,0.0144,0.0237
1,0,"Tue Feb 12, 2019 - Soccer",Paris Saint-Germain,0,30%,+122,+237,+231,+213,+220,+230,+235,+225,+230,+213,+220,+230,+231,+210,+235,+235,+235,+211,+123,+123,+247,+213,+213,+235,+222,+230,+208,+123,+155,211.8929,0.3258,0.30579999999999996,247,0.2882,1,0,0.0611,0.02474736842105259,227.01,3.2701,3.3155,0.0086,0.0123,0.0404,3.2247,0.0091,0.0134
3,1,"Tue Feb 12, 2019 - Soccer",AS Roma,0,71%,+101,+104,+106,-103,+101,+100,+102,+100,+100,-103,+101,+100,+106,+108,+104,+104,+104,-107,+106,+106,-117,-103,-103,+102,-105,+100,+110,+106,+105,51.2143,0.497,0.477,110,0.4762,1,0,0.0017,0.001545454545454577,109.64,2.0964,2.1183,0.0175,0.0293,0.1082,2.0745,0.019,0.0335
6,2,"Wednesday, February 13, 2019 - Soccer",Tottenham Hotspur,0,94%,+118,+112,+113,+103,+113,+110,+110,+105,+105,+103,+113,+105,+113,+134,+112,+112,+112,+102,+127,+127,+106,+103,+103,+110,+107,+110,+137,+127,+130,113.0,0.4704,0.45039999999999997,137,0.4219,1,0,0.0674,0.04923211678832113,122.02,2.2202,2.2446,0.0158,0.0259,0.0946,2.1958,0.017,0.0293
10,3,"Wednesday, February 13, 2019 - Soccer",Real Madrid,0,11%,+108,-112,-108,-113,-113,-115,-124,-120,-120,-113,-113,-118,-108,-111,-112,-112,-112,-123,+103,+103,-127,-113,-113,-124,-119,-115,-106,+103,-110,-91.6071,0.53,0.51,103,0.4926,1,0,0.0353,0.03427184466019417,-104.0799,1.9608,1.98,0.02,0.0343,0.1272,1.9416,0.02,0.0353
12,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,100%,-237,-348,-356,-357,-346,-360,-305,-400,-346,-344,-357,-,-346,-229,-400,-400,-346,-386,-,-,-346,-344,-344,-305,-346,-360,-,-,-346,-348.5652,0.7755,0.7555,-229,0.696,1,0,0.0854,0.1955949999999999,-309.0235,1.3236,1.3301,0.0571,0.1122,0.3675,1.3171,0.02,0.0427
13,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,0%,+506,+848,+793,+920,+665,+1000,+520,+850,+665,+888,+560,-,+665,+588,+875,+875,+665,+815,-,-,+665,+888,+888,+520,+665,+1000,-,-,+665,760.1304,0.1198,0.0998,1000,0.0909,1,0,0.0978,0.00978,902.0,10.02,10.2004,0.0022,0.0025,0.005,9.8396,0.0023,0.0026
14,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,0%,+297,+487,+466,+448,+368,+425,+375,+425,+368,+441,+440,-,+368,+321,+425,+425,+368,+454,-,-,+368,+441,+441,+375,+368,+425,-,-,+368,408.2609,0.1981,0.1781,487,0.1704,1,0,0.0454,0.009332032854209471,461.48,5.6148,5.7071,0.0042,0.0053,0.014,5.5225,0.0044,0.0057
15,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,100%,-248,+189,-526,-,-418,+189,-526,-,-425,+189,-526,-,-416,+189,-526,-,-457,+189,-526,-,-483,+189,-526,-,-416,+189,-526,-,-425,-257.0952,0.6663,0.6463,189,0.346,1,0,0.8678,0.4591571428571428,-182.7151,1.5473,1.5582,0.0346,0.0647,0.2342,1.5364,0.02,0.0393
16,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,0%,+520,+133,+954,-,+1047,+133,+954,-,+1000,+133,+954,-,+1095,+133,+954,-,+956,+133,+954,-,+1035,+133,+954,-,+1095,+133,+954,-,+1000,706.5238,0.2042,0.1842,1095,0.0837,1,0,1.2012,0.10969771689497718,442.89,5.4289,5.5175,0.0044,0.0056,0.0149,5.3403,0.0046,0.0059
17,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,0%,+307,+191,+441,-,+527,+191,+441,-,+525,+191,+441,-,+494,+191,+441,-,+475,+191,+441,-,+507,+191,+441,-,+494,+191,+441,-,+525,379.5714,0.2312,0.2112,527,0.1595,1,0,0.3242,0.06152258064516131,373.48,4.7348,4.8095,0.0052,0.0068,0.0193,4.6601,0.0055,0.0073
24,8,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+224,+205,-,-,-500,+154,-,-,-417,+154,-,-,-460,+154,-,-,-455,+154,-,-,-478,+154,-,-,-420,+154,-,-,-,-123.1538,0.5851,0.5650999999999999,205,0.3279,1,0,0.7236,0.3529536585365853,-129.9376,1.7696,1.7850000000000001,0.0249,0.0443,0.1643,1.7542,0.02,0.037
25,8,"Thursday, February 14, 2019 - Soccer",Bayer Leverkusen,0,0%,-107,+154,-,-,+660,+153,-,-,+1150,+153,-,-,+1193,+153,-,-,+1075,+153,-,-,+1000,+153,-,-,+1037,+153,-,-,-,552.8462,0.2552,0.2352,1193,0.0773,1,0,2.0411,0.1710927074601844,325.17,4.2517,4.3167,0.006,0.008,0.0237,4.1867,0.0063,0.0086
26,8,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,+240,+153,-,-,+540,+203,-,-,+525,+203,-,-,+513,+203,-,-,+475,+203,-,-,+450,+203,-,-,+522,+203,-,-,-,338.1538,0.2593,0.23929999999999998,540,0.1562,1,0,0.5315,0.0984296296296296,317.89,4.1789,4.2425,0.0061,0.0083,0.0246,4.1152999999999995,0.0065,0.0089
27,9,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+158,+203,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,+126,-,-,-154,-8.5,0.5164,0.49639999999999995,203,0.33,1,0,0.5041,0.24832118226600977,101.45,2.0145,2.0347999999999997,0.019,0.0322,0.1191,1.9942,0.02,0.0349
28,9,"Thursday, February 14, 2019 - Soccer",Stade Rennes,0,0%,+155,+126,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,+185,-,-,+345,260.7857,0.2943,0.2743,345,0.2247,1,0,0.2206,0.06395217391304349,264.56,3.6456,3.6985,0.0074,0.0103,0.0323,3.5927,0.0078,0.0111
30,10,"Thursday, February 14, 2019 - Soccer",Draw,0,61%,+125,+207,-,-,-175,+652,-,-,-190,+652,-,-,-178,+652,-,-,-185,+652,-,-,-191,+652,-,-,-178,+652,-,-,-190,202.2857,0.404,0.384,652,0.133,1,0,1.8877,0.289521472392638,160.42,2.6042,2.6363,0.0121,0.0187,0.0659,2.5721,0.0129,0.0207
31,10,"Thursday, February 14, 2019 - Soccer",Draw,0,32%,+186,+652,-,-,+491,-315,-,-,+475,-315,-,-,+503,-315,-,-,+451,-315,-,-,+473,-315,-,-,+503,-315,-,-,+475,152.3571,0.4209,0.4009,652,0.133,1,0,2.0148,0.3090134969325153,149.44,2.4944,2.5243,0.013,0.0203,0.0725,2.4645,0.0138,0.0226
32,10,"Thursday, February 14, 2019 - Soccer",Sevilla FC,0,7%,+206,-315,-,-,+316,+339,-,-,+305,+339,-,-,+293,+339,-,-,+309,+339,-,-,+294,+339,-,-,+293,+339,-,-,+305,273.8571,0.2762,0.2562,339,0.2278,1,0,0.1247,0.03678997050147492,290.32,3.9032,3.9613,0.0067,0.0092,0.0281,3.8451,0.0071,0.0099
